; name
1567;Yamissang I.
1568;Yamissang
1569;Mulanga
1570;Bandoba
1571;Tonga’s
1572;Lagosdorf
1573;Ponck
1574;Ndokobassaben
1575;Nobkobassaben
1576;Messondo
1577;Messondo
1578;Song-Lepem
1579;Mijem’s
1580;Bog-Nsŏ
1581;Biyouha
1582;Apou
1583;Mbang
1584;Yngui I
1585;Yngui
1586;Yingi
1587;Ndem
1588;Garga-Sardi
1589;Garga
1590;Ganga-Sarali
1591;Lingboka
1592;Dongone
1593;Ouenden
1594;Ouanden
1595;Mboua
1596;Abós
1597;Monnay
1598;Money
1599;Bangbale
1600;Domiaka-Mintomiaka
1601;Mouadjandi
1602;Nyantoum
1603;Ober-Furu
1604;Zumpere
1605;Yanben
1606;Kidia
1607;Cedea
1608;Nkossim
1609;Mapan
1610;Ndūpe
1611;Pes Liban
1612;Dikongob
1613;Logwambe
1614;Ninje
1615;Mongo Manou
1616;Mobambo
1617;Belissola
1618;Bendissola
1619;Belisola
1620;Bambala
1621;Mbounou
1622;Mbūn
1623;Mboun
1624;Ndjamono
1625;Njamono
1626;Schoumou
1627;Djikom
1628;Kongulū
1629;Kongoulou
1630;Mbūle
1631;Mboule
1632;Assok
1633;Fibo
1634;Fibot
1635;Lwo
1636;Esu
1637;Lsu
1638;Isu
1639;Bello
1640;Janjō
1641;Ngorro
1642;Kpoui
1643;Matet
1644;Nkai
1645;Essama
1646;Assam
